width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1275,1275,1276,gantry_rope,574.073231271413,16.394098506139805,631.4525760429023,
L,1276,1276,1277,gantry_rope,574.5287606881088,16.392937091161407,631.9040405071737,
L,1277,1277,1278,gantry_rope,574.9858310893499,16.39160791156754,632.3564587798362,
L,1278,1278,1279,gantry_rope,575.5144729550058,16.389881273713335,632.8790574130024,
L,1279,1279,1280,gantry_rope,575.8378921255202,16.38869837403453,633.1983364346411,
L,1280,1280,1281,gantry_rope,519.1833333333332,4.817340479167048e-13,519.1833333333349,
L,1281,1281,1282,gantry_rope,519.1833333333332,4.849128895359739e-13,519.1833333333349,
L,1282,1282,1283,gantry_rope,519.1833333333332,4.961371217339713e-13,519.1833333333349,
L,1283,1283,1284,gantry_rope,563.4999999999997,5.270661222027298e-13,563.5000000000015,
L,1284,1284,1285,gantry_rope,563.4033333333332,5.856267944569986e-13,563.4033333333352,
L,1285,1285,1286,gantry_rope,563.0950000000006,5.950584024475374e-13,563.0950000000026,
L,1286,1286,1287,gantry_rope,562.6016666666682,7.228352458697392e-13,562.6016666666707,
L,1287,1287,1288,gantry_rope,562.111666666666,6.132548636286668e-13,562.1116666666682,
L,1288,1288,1289,gantry_rope,561.6249999999983,7.758169381706813e-13,561.625000000001,
L,1289,1289,1290,gantry_rope,561.1416666666689,7.568046367612598e-13,561.1416666666715,
L,1290,1290,1291,gantry_rope,559.4916666666663,6.268486098655761e-13,559.4916666666685,
L,1291,1291,1292,gantry_rope,558.9383333333327,6.163068051772693e-13,558.9383333333349,
L,1292,1292,1293,gantry_rope,558.3766666666681,8.024592224089412e-13,558.376666666671,
L,1293,1293,1294,gantry_rope,557.8199999999954,2.0316821895000914e-12,557.8200000000026,
L,1294,1294,1295,gantry_rope,557.2550000000039,2.3004594656348826e-12,557.2550000000119,
L,1295,1295,1296,gantry_rope,555.6250000000031,1.1552528697710297e-12,555.6250000000072,
L,1296,1296,1297,gantry_rope,555.0983333333202,5.396132972375034e-12,555.098333333339,
L,1297,1297,1298,gantry_rope,554.5666666666734,3.0423158348015687e-12,554.5666666666841,
L,1298,1298,1299,gantry_rope,554.0383333333347,1.052615983265472e-12,554.0383333333383,
L,1299,1299,1300,gantry_rope,553.5033333333287,2.1793876019930217e-12,553.5033333333363,
L,1300,1300,1301,gantry_rope,551.7583333333384,2.1574841741209394e-12,551.758333333346,
L,1301,1301,1302,gantry_rope,551.2616666666686,8.814904835860428e-13,551.2616666666717,
