global_index,width,mct_node,x_m,y_m,z_m
1322,R,198,1026.909,21.45,231.377568944796
1323,R,199,1035.909,21.45,228.801595957204
1324,R,200,1044.909,21.45,226.25047392254098
1325,R,201,1053.909,21.45,223.724186533411
1326,R,202,1062.909,21.45,221.282032345469
1327,R,203,1071.909,21.45,218.864643039003
1328,R,204,1080.909,21.45,216.472003158228
1329,R,205,1089.909,21.45,214.104097402757
1330,R,206,1098.909,21.45,211.760910632134
1331,R,207,1107.909,21.45,209.44242786322
1332,R,208,1110.9182999999998,21.45,208.67297794171998
1333,R,209,1116.909,21.45,207.150492741023
1334,R,210,1125.909,21.45,204.88416329314398
1335,R,211,1134.909,21.45,202.642492207489
1336,R,212,1143.909,21.45,200.425465148285
1337,R,213,1152.909,21.45,198.233067936031
1338,R,214,1161.909,21.45,196.065286547285
1339,R,215,1167.9182999999998,21.45,194.63178611687698
1340,R,216,1170.909,21.45,193.923035434345
1341,R,217,1179.909,21.45,191.80723454421
1342,R,218,1188.909,21.45,189.71600682630898
1343,R,219,1197.909,21.45,187.649338901957
1344,R,220,1206.909,21.45,185.607217552096
1345,R,221,1215.909,21.45,183.589629713495
1346,R,222,1224.909,21.45,181.596562478559
1347,R,223,1233.909,21.45,179.68732248106298
1348,R,224,1242.909,21.45,177.802547884092
1349,R,225,1251.909,21.45,175.942226628468
1350,R,226,1260.909,21.45,174.10634681385102
1351,R,227,1269.909,21.45,172.29489669181902
1352,R,228,1278.909,21.45,170.507864673509
1353,R,229,1281.9182999999998,21.45,169.91605177373702
1354,R,230,1287.909,21.45,168.747097914345
1355,R,231,1296.909,21.45,167.011658070565
1356,R,232,1305.909,21.45,165.30060123517998
1357,R,233,1314.909,21.45,163.613916458543
1358,R,234,1323.909,21.45,161.95159294918
1359,R,235,1332.909,21.45,160.313620069063
1360,R,236,1338.9182999999998,21.45,159.233726769656
1361,R,237,1341.909,21.45,158.700915532548
1362,R,238,1350.909,21.45,157.114403270935
1363,R,239,1359.909,21.45,155.552209506412
1364,R,240,1368.909,21.45,154.01432424200502
1365,R,241,1377.909,21.45,152.50073763625
1366,R,242,1386.909,21.45,151.011440004474
1367,R,243,1395.909,21.45,149.54642181595798
1368,R,244,1404.909,21.45,148.164998132911
1369,R,245,1413.909,21.45,146.80781340106202
1370,R,246,1422.909,21.45,145.474858935447
1371,R,247,1431.909,21.45,144.166126205508
1372,R,248,1440.909,21.45,142.88160683629798
1373,R,249,1446.9182999999998,21.45,142.037640853869
1374,R,250,1449.909,21.45,141.62222068316
1375,R,251,1458.909,21.45,140.38889442045
1376,R,252,1467.909,21.45,139.179756418625
1377,R,253,1476.909,21.45,137.99479893993998
1378,R,254,1485.909,21.45,136.83401440083298
1379,R,255,1494.909,21.45,135.697395372943
1380,R,256,1497.9182999999998,21.45,135.32299997790201
1381,R,257,1503.909,21.45,134.58679326336798
1382,R,258,1512.909,21.45,133.501274311575
1383,R,259,1521.909,21.45,132.439898717104
1384,R,260,1530.909,21.45,131.402659687235
1385,R,261,1539.909,21.45,130.38955058465402
1386,R,262,1546.9182999999998,21.45,129.61742236002002
1387,R,263,1548.909,21.45,129.413688898777
1388,R,264,1557.909,21.45,128.50814611543498
1389,R,265,1566.909,21.45,127.626699731646
1390,R,266,1575.909,21.45,126.769344105367
1391,R,267,1584.909,21.45,125.936073750371
1392,R,268,1593.909,21.45,125.126883333747
1393,R,269,1597.9182999999998,21.45,124.7744142237
1394,R,270,1602.909,21.45,124.343282187155
1395,R,271,1611.909,21.45,123.58502736701999
1396,R,272,1620.909,21.45,122.850836856638
1397,R,273,1629.909,21.45,122.140705957211
1398,R,274,1638.909,21.45,121.454630123925
1399,R,275,1647.909,21.45,120.792604965932
1400,R,276,1648.9182999999998,21.45,120.71997604922
1401,R,277,1656.909,21.45,120.157104835515
1402,R,278,1665.909,21.45,119.545959531631
1403,R,279,1674.909,21.45,118.958852208116
1404,R,280,1683.909,21.45,118.39577910724901
1405,R,281,1692.909,21.45,117.856736625433
1406,R,282,1701.909,21.45,117.341721313104
1407,R,283,1703.9175,21.45,117.230263832353
1408,R,284,1710.909,21.45,116.896823602893
1409,R,285,1719.909,21.45,116.48918096477999
1410,R,286,1728.909,21.45,116.105549345345
1411,R,287,1737.909,21.45,115.745926289398
1412,R,288,1746.909,21.45,115.41030949555599
1413,R,289,1754.9175,21.45,115.13195690269599
1414,R,290,1755.909,21.45,115.09900433916701
1415,R,291,1764.909,21.45,114.814185372393
1416,R,292,1773.909,21.45,114.553366480535
1417,R,293,1782.909,21.45,114.316545994648
1418,R,294,1791.909,21.45,114.103722399106
1419,R,295,1800.909,21.45,113.914894331858
1420,R,296,1805.9175,21.45,113.820474028094
1421,R,297,1809.909,21.45,113.751291215332
1422,R,298,1818.909,21.45,113.613242357065
1423,R,299,1827.909,21.45,113.499185767424
1424,R,300,1836.909,21.45,113.409120716565
1425,R,301,1845.909,21.45,113.343046628001
1426,R,302,1854.909,21.45,113.3
1427,R,303,1863.909,21.45,113.34220732946
1428,R,304,1872.909,21.45,113.407442108218
1429,R,305,1881.909,21.45,113.496667831894
1430,R,306,1890.909,21.45,113.609885071544
1431,R,307,1899.909,21.45,113.74709455174501
1432,R,308,1905.9175,21.45,113.852301910323
1433,R,309,1908.909,21.45,113.909232733606
1434,R,310,1917.909,21.45,114.097221322337
1435,R,311,1926.909,21.45,114.30920539448901
1436,R,312,1935.909,21.45,114.545186306736
1437,R,313,1944.909,21.45,114.805165569334
1438,R,314,1953.909,21.45,115.089144845852
1439,R,315,1956.9175,21.45,115.18968150040601
1440,R,316,1962.909,21.45,115.398998394956
1441,R,317,1971.909,21.45,115.733775310037
1442,R,318,1980.909,21.45,116.092558409487
1443,R,319,1989.909,21.45,116.475349989314
1444,R,320,1998.909,21.45,116.882152499329
1445,R,321,2005.9175,21.45,117.215765178323
1446,R,322,2007.909,21.45,117.326097910101
1447,R,323,2016.909,21.45,117.840272878298
1448,R,324,2025.909,21.45,118.37847489782399
1449,R,325,2034.909,21.45,118.940707413364
1450,R,326,2043.909,21.45,119.52697402317101
1451,R,327,2052.909,21.45,120.137278479321
1452,R,328,2056.9175,21.45,120.41712920194999
1453,R,329,2061.909,21.45,120.773200924408
1454,R,330,2070.909,21.45,121.43438516571
1455,R,331,2079.909,21.45,122.11961993154401
1456,R,332,2088.909,21.45,122.828909607375
1457,R,333,2097.909,21.45,123.56225873263
