mode,frequency_hz,q_ref_max_abs,q_ccx_max_abs,q_max_abs_error,v_ref_max_abs,v_max_abs_error
121,5.143903307415e-01,6.302652894872e-13,6.235957000000e-13,2.023935041952e-14,1.642666900090e-12,1.747371991197e-14
122,5.145188662901e-01,5.058249550459e-06,5.058250000000e-06,5.012782931158e-13,1.559518739127e-05,4.661773950806e-12
123,5.145252315946e-01,3.441039884877e-06,3.441040000000e-06,4.999785447751e-13,9.597114216036e-06,5.202191782259e-13
124,5.156770438728e-01,4.297265026884e-13,4.304189000000e-13,3.587407936485e-15,1.001348295013e-12,1.403209981191e-14
125,5.157203006524e-01,2.450697019515e-13,2.428075000000e-13,2.492264403647e-15,5.595345839430e-13,1.402631908719e-14
126,5.180560558203e-01,5.190187865371e-06,5.190188000000e-06,4.932581485257e-13,1.557934792079e-05,4.254287711231e-12
127,5.180609787119e-01,7.604481502737e-06,7.604482000000e-06,4.973109081049e-13,1.815831555369e-05,4.971430741168e-12
128,5.181456359939e-01,5.587598507691e-13,5.550985000000e-13,1.909008129304e-14,8.983885246218e-13,2.374405495007e-14
129,5.182517441527e-01,5.812344655161e-14,5.322048000000e-14,1.713841309993e-14,1.658768370926e-13,3.198673709260e-14
130,5.209463890172e-01,1.898044299220e-06,1.898044000000e-06,5.195276825506e-13,5.057946968755e-06,4.999789926438e-13
131,5.209505640240e-01,4.178047011872e-06,4.178047000000e-06,4.863335864192e-13,1.255571678547e-05,4.818708425648e-12
132,5.219310649142e-01,4.257420806280e-13,4.245202000000e-13,8.871676332352e-15,7.826358984008e-13,2.413586059539e-14
133,5.245422632533e-01,8.517778250452e-14,8.593596000000e-14,1.690874571302e-14,2.644249390062e-13,4.697229052313e-14
134,5.245631754917e-01,1.357106571060e-13,1.366901000000e-13,3.460478733343e-15,3.978491204885e-13,6.727709836375e-15
135,5.264035034742e-01,1.564659910522e-12,1.555323000000e-12,1.732220476164e-14,2.670412396054e-12,4.353175319322e-14
136,5.273975048642e-01,1.069040212118e+01,1.069040000000e+01,4.802254370162e-06,2.101682245466e+01,4.871401497297e-06
137,5.282359023649e-01,6.640145295204e-13,6.650471000000e-13,2.070256854941e-14,1.603585195573e-12,5.821414277926e-14
138,5.325245159674e-01,1.091539750481e-04,1.091540000000e-04,2.749275636251e-11,2.853852034931e-04,4.964747867377e-11
139,5.348455489167e-01,4.397027971375e+00,4.397028000000e+00,4.897589822583e-07,8.816059340877e+00,4.973936498232e-07
140,5.348472718397e-01,1.441317532502e+01,1.441318000000e+01,4.898422909960e-06,4.279329950128e+01,4.843020962042e-06
141,5.396700444645e-01,2.493821367875e-13,2.337900000000e-13,1.887440354526e-14,7.576212793143e-13,7.307757589385e-14
142,5.444101890481e-01,1.343098082006e+01,1.343098000000e+01,4.316128762838e-06,3.906833423974e+01,4.907827140244e-06
143,5.449830681448e-01,9.863396781009e+00,9.863397000000e+00,4.995280036280e-07,1.991401532107e+01,4.923876925744e-06
144,5.493541089783e-01,8.690526624699e-01,8.690527000000e-01,4.870735639817e-08,2.508878329382e+00,4.864209461886e-07
145,5.494342761120e-01,1.393028990499e+01,1.393029000000e+01,4.958252597831e-06,4.487374349884e+01,4.948311289610e-06
146,5.508062812650e-01,3.016472412859e-13,3.004340000000e-13,1.873557337540e-14,9.916038923478e-13,5.830935177303e-14
147,5.519408823731e-01,2.487658234143e-13,2.815190000000e-13,5.117182617114e-14,6.768220735430e-13,1.579667541442e-13
148,5.702652015831e-01,6.732077421557e-06,6.732077000000e-06,5.007459113091e-13,1.319131217414e-05,4.834622026651e-12
149,5.702700101808e-01,8.622518584931e-06,8.622519000000e-06,5.012976838175e-13,2.057638781567e-05,4.682709808359e-12
150,5.790844284596e-01,6.076560955529e-14,5.579646000000e-14,2.414418805039e-14,1.922559769252e-13,5.517942195770e-14
