mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
13,0.1466344413291045,3,1847909.0,28660,51508,7.114552253281187e-07,1.275078358596307e-06,-0.001206348876483765,-0.00121939502025585,9.93266791962213e-07,-0.0012128719483698075,3.033986923740701e-10,1.3046143772085014e-05
13,0.1466344413291045,4,2423409.0,374,14392,7.046512342975834e-06,6.438660662479526e-06,0.001864058753789453,0.001726656400816593,6.74258650272768e-06,0.0017953575773030231,3.1954035575083708e-09,0.00013740235297285994
13,0.1466344413291045,5,3361547.0,29176,52024,9.089304234804345e-17,9.58199913686557e-17,-4.263785354392071e-16,-3.00242286420723e-16,9.335651685834958e-17,-3.6331041092996505e-16,-2.9334011399647458e-21,-1.2613624901848408e-16
14,0.1467079911685052,1,372853.0,80,14098,3.733101565144673e-16,3.768050400968391e-16,4.911092222467522e-17,7.649909830410255e-17,3.750575983056532e-16,6.280501026438889e-17,-6.369343274285425e-22,-2.7388176079427326e-17
14,0.1467079911685052,2,1272409.0,28469,51317,-0.001550625368898353,-0.001549685952213921,0.0007792304099920595,-0.0006042112277664202,-0.001550155660556137,8.750959111281965e-05,3.217306134322046e-08,0.0013834416377584797
14,0.1467079911685052,3,1847909.0,28660,51508,0.001222511932617205,0.00122287144569127,0.0002765189915012406,-0.0002104988925616589,0.0012226916891542375,3.301004946979085e-05,1.132599730378836e-08,0.0004870178840628995
14,0.1467079911685052,4,2423409.0,374,14392,-0.001016157456035437,-0.001015314135750251,0.0006845687940592469,-0.000506500006841078,-0.001015735795892844,8.90343936090845e-05,2.7699274439542436e-08,0.0011910688009003248
14,0.1467079911685052,5,3361547.0,29176,52024,6.432860399670314e-17,5.67679685237196e-17,2.938731521214758e-16,-1.646918560074049e-16,6.054828626021137e-17,6.459064805703545e-17,1.0664302514625133e-20,4.585650081288807e-16
15,0.1467200923182837,1,372853.0,80,14098,-5.891493210282765e-18,-1.193794483646039e-17,-1.955483666706549e-16,5.573826630320042e-18,-8.914719023371578e-18,-9.498727002016743e-17,-4.677260309324998e-21,-2.0112219330097493e-16
15,0.1467200923182837,2,1272409.0,28469,51317,0.003177166906228062,0.003223531290291608,0.03803520140189433,-0.02911310009817382,0.003200349098259835,0.004461050651860254,1.561588406978329e-06,0.06714830150006815
15,0.1467200923182837,3,1847909.0,28660,51508,0.000380525867913387,0.0003841195400870174,0.002622796114658242,-0.001941953211178275,0.0003823227040002022,0.00034042145173998346,1.061569610659655e-07,0.0045647493258365165
15,0.1467200923182837,4,2423409.0,374,14392,0.003193857832161624,0.003240127765024915,0.03808838312959332,-0.02903820262917581,0.0032169927985932698,0.004525090250208754,1.561083389738817e-06,0.06712658575876913
15,0.1467200923182837,5,3361547.0,29176,52024,6.199025664464563e-17,6.126421892579985e-17,3.045478368870246e-16,-3.802518608572055e-16,6.162723778522274e-17,-3.7852011985090466e-17,1.5925574366144887e-20,6.847996977442301e-16
16,0.1496722928109748,1,372853.0,80,14098,6.614607730342112e-17,6.119252722777991e-17,-2.908214780638449e-16,-2.166592314317699e-16,6.366930226560052e-17,-2.5374035474780737e-16,-1.7247034100482554e-21,-7.416224663207499e-17
