node_id,X_mm,Y_mm,Z_mm,family,component_class
2000452,488918.300000000047,23860.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_02,gate
2000453,488918.300000000047,23600.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_03,gate
2000454,488918.300000000047,23340.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_04,gate
2000455,488918.300000000047,23080.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_05,gate
2000456,488918.300000000047,22820.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_06,gate
2000457,488918.300000000047,22560.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_07,gate
2000458,488918.300000000047,22300.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_08,gate
2000459,488918.300000000047,20600.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_09,gate
2000460,488918.300000000047,20340.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_10,gate
2000461,488918.300000000047,20080.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_11,gate
2000462,488918.300000000047,19820.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_12,gate
2000463,488918.300000000047,19560.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_13,gate
2000464,488918.300000000047,19300.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_14,gate
2000465,488918.300000000047,19040.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_15,gate
2000466,488918.300000000047,18780.000000000000,233605.671379095002,CW1_GATE_08::bottom_rope_master_16,gate
2000467,488918.300000000047,18540.000000000000,233605.671379095002,CW1_GATE_08::right_post_bottom_weld_projection,gate
2000468,488918.300000000047,18375.000000000000,233605.671379095002,CW1_GATE_08::bottom_beam_endpoint_end,gate
2000488,488918.300000000047,25140.000000000000,242149.411112353002,CW1_GATE_08::top_beam_endpoint_start,gate
2000489,488918.300000000047,24360.000000000000,242149.411112353002,CW1_GATE_08::left_post_top_weld_projection,gate
2000490,488918.300000000047,23660.000000000000,242149.411112353002,CW1_GATE_08::gantry_rope_master_01,gate
2000491,488918.300000000047,23400.000000000000,242149.411112353002,CW1_GATE_08::gantry_rope_master_02,gate
2000492,488918.300000000047,23140.000000000000,242149.411112353002,CW1_GATE_08::gantry_rope_master_03,gate
2000493,488918.300000000047,19760.000000000000,242149.411112353002,CW1_GATE_08::gantry_rope_master_04,gate
