
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     12718  UZ     0.00000000      0.00000000    
     12721  UY     0.00000000      0.00000000    
     12721  UZ     0.00000000      0.00000000    
     12785  UY     0.00000000      0.00000000    
     12785  UZ     0.00000000      0.00000000    
     12831  UY     0.00000000      0.00000000    
     12831  UZ     0.00000000      0.00000000    
     12833  UX     0.00000000      0.00000000    
     12833  UY     0.00000000      0.00000000    
     12833  UZ     0.00000000      0.00000000    
     12834  UX     0.00000000      0.00000000    
     12834  UY     0.00000000      0.00000000    
     12834  UZ     0.00000000      0.00000000    
     12836  UY     0.00000000      0.00000000    
     12836  UZ     0.00000000      0.00000000    
     12896  UY     0.00000000      0.00000000    
     12896  UZ     0.00000000      0.00000000    
     12899  UX     0.00000000      0.00000000    
     12899  UY     0.00000000      0.00000000    
     12899  UZ     0.00000000      0.00000000    
     13113  UX     0.00000000      0.00000000    
     13113  UY     0.00000000      0.00000000    
     13113  UZ     0.00000000      0.00000000    
     13116  UY     0.00000000      0.00000000    
     13116  UZ     0.00000000      0.00000000    
     13180  UY     0.00000000      0.00000000    
     13180  UZ     0.00000000      0.00000000    
     13226  UY     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.411

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     13226  UZ     0.00000000      0.00000000    
     13228  UX     0.00000000      0.00000000    
     13228  UY     0.00000000      0.00000000    
     13228  UZ     0.00000000      0.00000000    
     13229  UX     0.00000000      0.00000000    
     13229  UY     0.00000000      0.00000000    
     13229  UZ     0.00000000      0.00000000    
     13231  UY     0.00000000      0.00000000    
     13231  UZ     0.00000000      0.00000000    
     13291  UY     0.00000000      0.00000000    
     13291  UZ     0.00000000      0.00000000    
     13294  UX     0.00000000      0.00000000    
     13294  UY     0.00000000      0.00000000    
     13294  UZ     0.00000000      0.00000000    
     13508  UX     0.00000000      0.00000000    
     13508  UY     0.00000000      0.00000000    
     13508  UZ     0.00000000      0.00000000    
     13511  UY     0.00000000      0.00000000    
     13511  UZ     0.00000000      0.00000000    
     13575  UY     0.00000000      0.00000000    
     13575  UZ     0.00000000      0.00000000    
     13621  UY     0.00000000      0.00000000    
     13621  UZ     0.00000000      0.00000000    
