mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
42,0.26462561722085537,1.6525602432544595e-11,MAIN,MAIN,0.9999999999312135,0.9999999999312135,L,0.6833535576553719,S,1,0.367458780003292,True,0.6833535576083668,1.4700125177383926e-10,0.3088163463060307,0.05674109306452499,0.25207525324150576,0.9999999999999996,LS5
43,0.2676514950064077,1.4869423998464662e-11,MAIN,MAIN,0.999999999972331,0.999999999972331,SYSY,0.6394086767061629,,0,0.0,False,6.165387293970966e-10,1.1868487488080494e-05,0.31231400502746626,3.9123277977367435e-11,0.31231400498834294,1.0000000000000004,SYSY_MIXED
44,0.2786368005930986,1.3147024305822297e-11,MAIN,MAIN,0.9999999999558888,0.9999999999558888,L,0.6130694714298915,S,3,0.3055268821672241,True,0.6130694714028484,5.527006468364114e-11,0.3584165602248374,0.04159761242877092,0.3168189477960665,0.9999999999999996,LS6
45,0.281687991329458,1.8016428958981312e-11,SIDE,NORTH,0.9999999999412489,5.875128511713596e-11,SIDE,0.9983254939687637,,0,0.0,True,2.2850187214857836e-27,2.1619181743876173e-24,9.837937998629051e-14,1.3782313566577599e-14,8.459706641971291e-14,0.9999999999999996,SIDE_NORTH
46,0.2823993698621609,1.6649482402614702e-11,SIDE,SOUTH,0.9879701824554087,2.7490126583697652e-11,SIDE,0.9990323715132488,,0,0.0,False,3.830750122369334e-26,1.7973278607997783e-20,2.6581642046663322e-14,2.7527281691295442e-21,2.6581639293935152e-14,1.0000000000000002,SIDE_SOUTH
47,0.28488592568950033,8.774189490919605e-12,MAIN,MAIN,0.9999999999942616,0.9999999999942616,L,0.8765583895449107,A,8,0.888825786440159,True,0.8765583895398803,5.43840960807515e-10,0.11345275317295343,0.0505598267121219,0.06289292646083154,1.0000000000000004,LA5
48,0.28829223545959,1.306723568927562e-11,MAIN,MAIN,0.9999999999800201,0.9999999999800201,SYSY,0.6448214809049032,,0,0.0,False,8.156843027731703e-08,3.30320940347702e-05,0.32199589835809395,4.270317512778632e-09,0.32199589408777646,1.0,SYSY_MIXED
49,0.28917400803033316,9.632997238901743e-12,MAIN,MAIN,0.9999999999700426,0.9999999999700426,L,0.570284992134318,A,4,0.5436912945358497,True,0.5702849921172338,1.2243339244566168e-10,0.38287314802665956,0.028704409997645078,0.3541687380290145,0.9999999999999991,LA6
50,0.29152530947794913,1.6988051380785584e-11,SIDE,SOUTH,0.9864130222663968,3.0866368598568735e-11,SIDE,0.9990330318208301,,0,0.0,True,7.391869833834923e-26,4.686772917515656e-27,2.984679624083278e-14,6.207258666401658e-15,2.363953757443112e-14,0.9999999999999999,SIDE_SOUTH
51,0.2927459764634595,1.3403472595368939e-11,MAIN,MAIN,0.9999999999997636,0.9999999999997636,V,0.9482477212436515,A,8,0.9843868087940865,False,3.4778133678760843e-06,0.9482477212434262,5.042029905685823e-05,3.1696363144287796e-05,1.8723935912570432e-05,0.9999999999999996,VA4
52,0.2929009521255434,1.0016026169717827e-11,MAIN,MAIN,0.9999999999983207,0.9999999999983207,T,0.8612875139180655,A,8,0.9849200846317613,True,0.09146348282290073,3.5544978278630884e-05,0.8612875139166201,0.8495620466905308,0.011725467226089253,0.9999999999999998,TA4
53,0.30726190928501035,1.2100714191672614e-11,MAIN,MAIN,0.9999999999506244,0.9999999999506244,SYSY,0.6750276680390807,,0,0.0,False,1.2749643389837745e-09,3.0300052614092185e-05,0.29214293024895727,8.177480302168164e-11,0.29214293016718246,1.0000000000000007,SYSY_MIXED
54,0.31018461292551364,7.378598784903786e-12,MAIN,MAIN,0.9999999999978506,0.9999999999978506,L,0.7605243482878127,S,9,0.5508731109078261,True,0.7605243482861787,5.699783673030867e-11,0.2286199837533617,0.03634061061117051,0.1922793731421912,1.0,LS7
55,0.3153657084458087,1.0614813479074543e-11,MAIN,MAIN,0.9999999999723321,0.9999999999723321,L,0.6992722922435954,S,9,0.5129969147708885,True,0.6992722922242491,4.021031020677709e-11,0.27129202130548824,0.030500336846351176,0.24079168445913707,0.9999999999999992,LS8
56,0.3294676928253275,6.09010158365487e-12,MAIN,MAIN,0.9999999999816378,0.9999999999816378,T,0.8832840927669958,S,9,0.9768641206477807,True,0.06925506985285182,2.4764873377992132e-05,0.8832840927507772,0.8610141983521864,0.02226989439859083,0.9999999999999997,TS5
57,0.3296577218417453,1.241788405131471e-11,MAIN,MAIN,0.9999999999816876,0.9999999999816876,V,0.9394026870038167,S,9,0.9784895247893712,False,1.8541125734502096e-06,0.9394026869866147,0.0031421532737406824,2.262902693775699e-05,0.003119524246802925,1.0000000000000004,VS5
58,0.33010400535491974,9.510797708517747e-12,MAIN,MAIN,0.9999999999916113,0.9999999999916113,SYSY,0.6640626535723535,,0,0.0,False,3.3890972313667217e-09,0.00993098196707388,0.29974828706446843,3.128699228365412e-09,0.2997482839357692,0.9999999999999996,SYSY_MIXED
59,0.3321493668860625,1.1647019590759011e-11,SIDE,NORTH,0.9999999999978986,2.1016218830545807e-12,SIDE,0.9982951280435987,,0,0.0,False,5.726102472235547e-27,1.0650474360161965e-19,3.5193984316421886e-15,3.270065804017925e-22,3.519398104635608e-15,1.0,SIDE_NORTH
60,0.3353173035633862,1.022587734577669e-11,MAIN,MAIN,0.9999999999864297,0.9999999999864297,L,0.6651375426485066,A,8,0.2791714591439668,True,0.6651375426394797,1.1915077015045392e-09,0.316013221034395,0.050861556871870085,0.26515166416252495,0.9999999999999994,LA7
61,0.34017034618309455,1.1342953050475134e-11,SIDE,NORTH,0.9999999999999754,2.4392704670519668e-14,SIDE,0.9983253096983726,,0,0.0,True,3.1230063462244864e-26,7.79911096012341e-26,4.085017935947237e-17,9.548944785181704e-18,3.130123457429066e-17,0.9999999999999996,SIDE_NORTH
62,0.34346663711793346,1.3539364659333887e-11,SIDE,AUX,0.985124538808065,8.621205718192837e-11,SIDE,0.9990329360592142,,0,0.0,False,7.702812550393597e-26,7.229245609703412e-24,8.337256428611281e-14,6.650428763212977e-22,8.337256362106994e-14,0.9999999999999996,SIDE_AUX
63,0.34444674436901135,8.91629157600325e-12,MAIN,MAIN,0.9999999999863951,0.9999999999863951,L,0.8002580267915791,A,10,0.4700151333395698,True,0.800258026780692,8.028713061078962e-11,0.18346325600797772,0.034188144342063055,0.14927511166591464,0.9999999999999996,LA8
64,0.35518243942927796,1.2544416872886832e-11,MAIN,MAIN,0.9999999999822436,0.9999999999822436,SYSY,0.645722548742401,,0,0.0,False,1.929645666176885e-09,4.555094621046621e-05,0.3261553250395681,1.4062205406851985e-10,0.3261553248989461,0.9999999999999998,SYSY_MIXED
65,0.3566071440493077,1.30707409861463e-11,SIDE,AUX,0.9576960600548285,9.38111742747775e-11,SIDE,0.9990329094577465,,0,0.0,True,1.2850525837405786e-26,1.6022533490057984e-26,9.072389938333184e-14,7.705407199807795e-15,8.301849218352405e-14,1.0000000000000002,SIDE_AUX
66,0.3587297304934099,1.489783080506932e-11,SIDE,SOUTH,0.9986033131213002,1.342346926743419e-11,SIDE,0.9989552782401843,,0,0.0,False,1.6131390209253846e-26,1.008708892304079e-18,1.2980760591919492e-14,7.776598936797561e-22,1.2980759814259599e-14,0.9999999999999993,SIDE_SOUTH
67,0.3598604124227083,9.389665237760491e-12,SIDE,SOUTH,0.983445838705248,1.3086651488795462e-11,SIDE,0.9990329026902206,,0,0.0,True,3.102148380722025e-27,7.983020582724181e-26,1.2656065376582088e-14,2.5233119913545018e-15,1.0132753385227585e-14,0.9999999999999996,SIDE_SOUTH
68,0.36203932095108887,8.36116593652695e-12,MAIN,MAIN,0.9999999999976787,0.9999999999976787,L,0.509124330190003,S,7,0.38041802436967653,True,0.5091243301888212,2.681367864281961e-08,0.46049019816932346,0.19945938298576374,0.2610308151835597,1.0000000000000002,LS9
69,0.36479910838540336,5.896938585469267e-12,MAIN,MAIN,0.9999999999998994,0.9999999999998994,V,0.9487309088347929,A,10,0.9670339773221698,False,6.496114281055988e-07,0.9487309088346961,3.038468890581654e-05,1.5559723755565767e-06,2.8828716530259963e-05,0.9999999999999999,VA5
70,0.36541201769224607,5.659570582974393e-12,MAIN,MAIN,0.999999999999859,0.999999999999859,T,0.7590102387294099,A,10,0.9565539324118749,True,0.2007522188355626,2.3915983341489357e-06,0.7590102387293028,0.6932586262014268,0.06575161252787597,0.9999999999999998,TA5
71,0.36643626621942654,1.4516468219355138e-11,SIDE,SOUTH,0.9961948183625638,1.462797134958325e-11,SIDE,0.9990328832521039,,0,0.0,True,1.2815092875485532e-26,7.912590241316786e-23,1.4146874267893323e-14,3.5759521438551345e-15,1.0570922124038187e-14,0.9999999999999996,SIDE_SOUTH
72,0.3693479015241302,1.0553823752200561e-11,SIDE,SOUTH,0.9958445250986688,2.124168520744601e-11,SIDE,0.9989974825940121,,0,0.0,False,3.3332847084298147e-26,2.054247492319158e-14,7.279340087238735e-19,2.3195547633432853e-23,7.2791081317624e-19,1.0,SIDE_SOUTH
73,0.37105655933848436,6.386739150397696e-12,MAIN,MAIN,0.9999999999850562,0.9999999999850562,L,0.7661483933052196,S,9,0.45581836607689225,True,0.7661483932937699,3.121870147034765e-11,0.21563302312311775,0.053538452187094805,0.16209457093602295,1.0000000000000002,LS10
74,0.3724113701332493,9.10514526078008e-12,SIDE,SOUTH,0.9884053112911041,2.339615082578058e-11,SIDE,0.999032872387246,,0,0.0,True,1.4656124700379183e-25,8.253559120651565e-23,2.2626978154360464e-14,1.732399606522131e-14,5.302982089139153e-15,1.0000000000000004,SIDE_SOUTH
75,0.3729837775381283,7.01414118601754e-12,MAIN,MAIN,0.9999999999880893,0.9999999999880893,SYSY,0.6902462651806313,,0,0.0,False,3.861237817056231e-09,3.780951571192833e-05,0.28533778441994617,2.209588604395903e-10,0.2853377841989873,0.9999999999999998,SYSY_MIXED
76,0.37298510859136325,6.069412440338714e-12,SIDE,NORTH,0.9999999999935538,6.446257854381954e-12,SIDE,0.9983208717236217,,0,0.0,True,1.0173034229162933e-27,4.674306675170428e-20,1.0796183471161342e-14,1.0047735194065808e-14,7.484482770955343e-16,1.0000000000000004,SIDE_NORTH
77,0.3737802187833448,9.876322327915235e-12,SIDE,NORTH,0.9999999999855539,1.4446097815065762e-11,SIDE,0.9983035593890163,,0,0.0,False,1.3331364351866607e-26,2.419392678365184e-14,5.242490200427593e-19,1.0804205359516765e-20,5.134448146832425e-19,1.0,SIDE_NORTH
78,0.37436489652956373,1.2543186811391651e-11,SIDE,NORTH,0.9999999999921132,7.887047395806105e-12,SIDE,0.9983168511536556,,0,0.0,True,3.44739245095628e-28,1.1032272452928205e-19,1.320920297732488e-14,1.3170645811710638e-14,3.855716561424241e-17,0.9999999999999996,SIDE_NORTH
79,0.38185583605886875,1.1850573321769532e-11,SIDE,AUX,0.99913838437415,7.718476136245264e-13,SIDE,0.9990328553546469,,0,0.0,True,5.554960907954742e-27,6.620450815186434e-27,7.464882798206718e-16,7.338024778814726e-16,1.2685801939199277e-17,1.0000000000000002,SIDE_AUX
80,0.38398196197863776,1.4536621111110706e-11,SIDE,AUX,0.9986601981783727,1.9482086458215907e-12,SIDE,0.9990327123730712,,0,0.0,False,3.792431626432187e-27,1.884208486031905e-15,2.6077674232750253e-22,1.2158226275578182e-26,2.607645841012269e-22,0.9999999999999996,SIDE_AUX
